player_id,year,team,games_played,feat_prev_cpi,feat_prev_disposals,feat_prev_goals,feat_prev_games,feat_career_seasons,feat_position_proxy,target_is_top_disposal,target_is_top_goal,target_is_top_cpi,target_cpi_raw
45144,2017,COLLINGWOOD MAGPIES,8,34.400000000000006,14.8,0.4,17.0,10,General,0,0,0,26.4
45144,2018,COLLINGWOOD MAGPIES,16,26.4,13.6,0.3,8.0,11,General,0,0,0,24.7
45144,2019,COLLINGWOOD MAGPIES,16,24.7,12.4,0.6,16.0,12,General,0,0,0,26.4
45144,2020,COLLINGWOOD MAGPIES,9,26.4,12.4,0.6,16.0,13,General,0,0,0,19.949999999999996
45145,2018,West Coast Eagles,12,,,,,0,General,0,0,0,23.400000000000002
45145,2019,West Coast Eagles,6,23.400000000000002,9.7,0.7,12.0,1,General,0,0,0,23.049999999999994
45146,2008,Sydney Swans,4,,,,,0,General,0,0,0,31.849999999999994
45146,2009,Sydney Swans,4,31.849999999999994,12.5,2.0,4.0,1,Forward,0,0,0,23.700000000000003
45146,2010,Sydney Swans,1,23.700000000000003,9.0,0.8,4.0,2,General,0,0,0,31.0
45146,2011,Western Bulldogs,3,31.0,14.0,0.0,1.0,3,General,0,0,0,26.8
45146,2012,Western Bulldogs,8,26.8,11.7,1.3,3.0,4,Forward,0,0,0,26.4
45146,2013,Western Bulldogs,1,26.4,15.5,0.1,8.0,5,Defender,0,0,0,7.0
45147,2017,North Melbourne Kangaroos,7,,,,,0,General,0,0,0,24.749999999999996
45147,2018,North Melbourne Kangaroos,7,24.749999999999996,13.7,0.0,7.0,1,General,0,0,0,23.750000000000004
45147,2019,North Melbourne Kangaroos,1,23.750000000000004,12.0,0.0,7.0,2,General,0,0,0,0.0
45147,2020,North Melbourne Kangaroos,6,0.0,1.0,0.0,1.0,3,General,0,0,0,21.499999999999996
45148,2009,Richmond Tigers,9,,,,,0,General,0,0,0,19.65
45148,2010,Richmond Tigers,14,19.65,8.7,0.6,9.0,1,General,0,0,0,19.150000000000002
45148,2011,Richmond Tigers,22,19.150000000000002,8.1,0.2,14.0,2,General,0,0,0,29.9
45148,2012,Richmond Tigers,9,29.9,11.5,1.6,22.0,3,Forward,0,0,0,20.75
45148,2013,Richmond Tigers,20,20.75,8.1,0.8,9.0,4,General,0,0,0,30.799999999999997
